universe_code,universe_name,movie_code,movie_name,country_code,country_name,release_date,opening,gross
1000,MCU,2,The Incredible Hulk,56,Chile,12-Jun-08,125119,340611
1000,MCU,2,The Incredible Hulk,57,Colombia,20-Jun-08,281555,751814
1000,MCU,2,The Incredible Hulk,593,Ecuador,13-Jun-08,N/A,379250
1000,MCU,2,The Incredible Hulk,1004,Lesser Antilles,18-Jun-08,N/A,275882
1000,MCU,2,The Incredible Hulk,52,Mexico,13-Jun-08,4437954,12650300
1000,MCU,2,The Incredible Hulk,51,Peru,12-Jun-08,331447,1194068
1000,MCU,2,The Incredible Hulk,598,Uruguay,27-Jun-08,7905,23637
1000,MCU,2,The Incredible Hulk,58,Venezuela,13-Jun-08,315943,1312950
1000,MCU,2,The Incredible Hulk,61,Australia,12-Jun-08,1913821,4549323
1000,MCU,2,The Incredible Hulk,852,Hong Kong,12-Jun-08,655199,1603230
1000,MCU,2,The Incredible Hulk,91,India,20-Jun-08,N/A,3137469
1000,MCU,2,The Incredible Hulk,62,Indonesia,18-Jun-08,N/A,1498269
1000,MCU,2,The Incredible Hulk,81,Japan,1-Aug-08,385666,1692037
1000,MCU,2,The Incredible Hulk,60,Malaysia,12-Jun-08,941367,2284041
1000,MCU,2,The Incredible Hulk,64,New Zealand,12-Jun-08,310993,876991
1000,MCU,2,The Incredible Hulk,92,Pakistan,20-Jun-08,N/A,173936
1000,MCU,2,The Incredible Hulk,63,Philippines,13-Jun-08,772966,2073443
1000,MCU,2,The Incredible Hulk,1007,Russia/CIS,12-Jun-08,3241476,6411987
1000,MCU,2,The Incredible Hulk,65,Singapore,12-Jun-08,910718,1841159
1000,MCU,2,The Incredible Hulk,82,South Korea,12-Jun-08,2869291,6383794
1000,MCU,2,The Incredible Hulk,886,Taiwan,13-Jun-08,648355,1935524
1000,MCU,2,The Incredible Hulk,66,Thailand,12-Jun-08,630849,1177786
1000,MCU,2,The Incredible Hulk,84,Vietnam,4-Jul-08,N/A,162749
1000,MCU,2,The Incredible Hulk,86,China,20-Aug-08,N/A,9336251
1000,MCU,3,Iron Man 2,1,United States,7-May-10,128122480,312433331
1000,MCU,3,Iron Man 2,43,Austria,5-May-10,419536,1357508
1000,MCU,3,Iron Man 2,32,Belgium,28-Apr-10,727204,1890409
1000,MCU,3,Iron Man 2,359,Bulgaria,30-Apr-10,36147,138746
1000,MCU,3,Iron Man 2,385,Croatia,29-Apr-10,58166,212418
1000,MCU,3,Iron Man 2,357,Cyprus,30-Apr-10,N/A,N/A
1000,MCU,3,Iron Man 2,420,Czech Republic,29-Apr-10,161058,442253
1000,MCU,3,Iron Man 2,45,Denmark,29-Apr-10,968371,2292730
1000,MCU,3,Iron Man 2,1003,East Africa,7-May-10,42346,122460
1000,MCU,3,Iron Man 2,20,Egypt,29-Apr-10,108806,300567
1000,MCU,3,Iron Man 2,372,Estonia,30-Apr-10,33030,77051
1000,MCU,3,Iron Man 2,358,Finland,5-May-10,223654,796554
1000,MCU,3,Iron Man 2,33,France,28-Apr-10,9372449,19792160
1000,MCU,3,Iron Man 2,49,Germany,6-May-10,3223268,9254348
1000,MCU,3,Iron Man 2,233,Ghana,11-Jun-10,2989,8290
1000,MCU,3,Iron Man 2,30,Greece,29-Apr-10,671465,1572625
1000,MCU,3,Iron Man 2,36,Hungary,29-Apr-10,50132,704870
1000,MCU,3,Iron Man 2,354,Iceland,30-Apr-10,72141,198156
1000,MCU,3,Iron Man 2,972,Israel,29-Apr-10,198724,684653
1000,MCU,3,Iron Man 2,39,Italy,30-Apr-10,4701280,9979666
1000,MCU,3,Iron Man 2,371,Latvia,30-Apr-10,35246,104864
1000,MCU,3,Iron Man 2,961,Lebanon,29-Apr-10,66434,165313
1000,MCU,3,Iron Man 2,370,Lithuania,30-Apr-10,34273,97230
1000,MCU,3,Iron Man 2,31,Netherlands,28-Apr-10,698020,2136565
1000,MCU,3,Iron Man 2,234,Nigeria,7-May-10,21448,59572
1000,MCU,3,Iron Man 2,47,Norway,28-Apr-10,747148,2463643
1000,MCU,3,Iron Man 2,48,Poland,30-Apr-10,359955,1136267
1000,MCU,3,Iron Man 2,351,Portugal,29-Apr-10,404617,1132347
1000,MCU,3,Iron Man 2,40,Romania,30-Apr-10,N/A,466054
1000,MCU,3,Iron Man 2,7,Russia,29-Apr-10,N/A,8672930
1000,MCU,3,Iron Man 2,1008,Serbia and Montenegro,29-Apr-10,6434,41653
1000,MCU,3,Iron Man 2,421,Slovakia,29-Apr-10,79043,202047
1000,MCU,3,Iron Man 2,386,Slovenia,29-Apr-10,31250,122290
1000,MCU,3,Iron Man 2,27,South Africa,30-Apr-10,679085,2589816
1000,MCU,3,Iron Man 2,34,Spain,30-Apr-10,3517993,7601695
1000,MCU,3,Iron Man 2,46,Sweden,28-Apr-10,527540,1968871
1000,MCU,3,Iron Man 2,41,Switzerland,28-Apr-10,N/A,318294
1000,MCU,3,Iron Man 2,90,Turkey,7-May-10,642384,1838197
1000,MCU,3,Iron Man 2,380,Ukraine,29-Apr-10,506945,1199098
1000,MCU,3,Iron Man 2,971,United Arab Emirates,29-Apr-10,1095019,2251242
1000,MCU,3,Iron Man 2,44,United Kingdom,30-Apr-10,11712073,30456328
1000,MCU,3,Iron Man 2,54,Argentina,29-Apr-10,754268,2566778
1000,MCU,3,Iron Man 2,591,Bolivia,29-Apr-10,91890,311086
1000,MCU,3,Iron Man 2,55,Brazil,30-Apr-10,4867236,15835025
1000,MCU,3,Iron Man 2,56,Chile,29-Apr-10,554345,1454137
1000,MCU,3,Iron Man 2,57,Colombia,30-Apr-10,392374,1275996
1000,MCU,3,Iron Man 2,593,Ecuador,30-Apr-10,401325,1243781
1000,MCU,3,Iron Man 2,52,Mexico,30-Apr-10,7076229,18396680
1000,MCU,3,Iron Man 2,507,Panama,30-Apr-10,N/A,883729
1000,MCU,3,Iron Man 2,51,Peru,29-Apr-10,772288,1862616
1000,MCU,3,Iron Man 2,598,Uruguay,30-Apr-10,19040,103005
1000,MCU,3,Iron Man 2,58,Venezuela,30-Apr-10,418341,1903726
1000,MCU,3,Iron Man 2,61,Australia,29-Apr-10,8792360,22418342
1000,MCU,3,Iron Man 2,852,Hong Kong,30-Apr-10,1529782,3760485
1000,MCU,3,Iron Man 2,91,India,7-May-10,N/A,1232814
1000,MCU,3,Iron Man 2,62,Indonesia,30-Apr-10,1632582,4487383
1000,MCU,3,Iron Man 2,81,Japan,12-Jun-10,2909452,12831962
1000,MCU,3,Iron Man 2,60,Malaysia,29-Apr-10,1845352,4642633
1000,MCU,3,Iron Man 2,64,New Zealand,29-Apr-10,1046284,2701225
1000,MCU,3,Iron Man 2,63,Philippines,30-Apr-10,2353617,6252102
1000,MCU,3,Iron Man 2,1007,Russia/CIS,29-Apr-10,7712304,14762084
1000,MCU,3,Iron Man 2,65,Singapore,30-Apr-10,1920023,4194650
