title,year,genre,runtime,mpa_rating,imdb_rating,imdb_gross,director,tomato_meter,tom_aud_score,entity,universe_code,id,star_1,star_2,star_3,star_4
X-Men: Days of Future Past,2014,"Action, Adventure, Sci-Fi",132,PG-13,7.9,233920000,Bryan Singer,90,91,MARVEL,3000.0,35,Bryan Singer,Patrick Stewart,Ian McKellen,Hugh Jackman
Ant-Man,2015,"Action, Adventure, Comedy",117,PG-13,7.3,180200000,Peyton Reed,83,86,MARVEL,1000.0,38,Peyton Reed,Paul Rudd,Michael Douglas,Corey Stoll
Avengers: Age of Ultron,2015,"Action, Adventure, Sci-Fi",141,PG-13,7.3,459010000,Joss Whedon,76,83,MARVEL,1000.0,37,Joss Whedon,Robert Downey Jr.,Chris Evans,Mark Ruffalo
Fantastic Four,2015,"Action, Adventure, Sci-Fi",100,PG-13,4.2,56120000,Josh Trank,9,18,MARVEL,,39,Josh Trank,Miles Teller,Kate Mara,Michael B. Jordan
Captain America: Civil War,2016,"Action, Adventure, Sci-Fi",147,PG-13,7.8,408080000,Anthony Russo,90,89,MARVEL,1000.0,41,Joe Russo,Chris Evans,Robert Downey Jr.,Scarlett Johansson
Deadpool,2016,"Action, Adventure, Comedy",108,R,8.0,363070000,Tim Miller,85,90,MARVEL,3000.0,40,Tim Miller,Ryan Reynolds,Morena Baccarin,T.J. Miller
Doctor Strange,2016,"Action, Adventure, Fantasy",115,PG-13,7.5,232640000,Scott Derrickson,89,85,MARVEL,1000.0,43,Scott Derrickson,Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams
X-Men: Apocalypse,2016,"Action, Adventure, Sci-Fi",144,PG-13,6.9,155440000,Bryan Singer,47,65,MARVEL,3000.0,42,Bryan Singer,James McAvoy,Michael Fassbender,Jennifer Lawrence
Guardians of the Galaxy Vol. 2,2017,"Action, Adventure, Comedy",136,PG-13,7.6,389810000,James Gunn,85,87,MARVEL,1000.0,45,James Gunn,Chris Pratt,Zoe Saldana,Dave Bautista
Logan,2017,"Action, Drama, Sci-Fi",137,R,8.1,226280000,James Mangold,93,90,MARVEL,3000.0,44,James Mangold,Hugh Jackman,Patrick Stewart,Dafne Keen
Spider-Man: Homecoming,2017,"Action, Adventure, Sci-Fi",133,PG-13,7.4,334200000,Jon Watts,92,87,MARVEL,1000.0,46,Jon Watts,Tom Holland,Michael Keaton,Robert Downey Jr.
Thor: Ragnarok,2017,"Action, Adventure, Comedy",130,PG-13,7.9,315060000,Taika Waititi,93,87,MARVEL,1000.0,47,Taika Waititi,Chris Hemsworth,Tom Hiddleston,Cate Blanchett
Ant-Man and the Wasp,2018,"Action, Adventure, Comedy",118,PG-13,7.0,216650000,Peyton Reed,87,75,MARVEL,1000.0,51,Peyton Reed,Paul Rudd,Evangeline Lilly,Michael Peña
Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi",149,PG-13,8.4,678820000,Anthony Russo,85,91,MARVEL,1000.0,49,Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo
Black Panther,2018,"Action, Adventure, Sci-Fi",134,PG-13,7.3,700060000,Ryan Coogler,96,79,MARVEL,1000.0,48,Ryan Coogler,Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o
Deadpool 2,2018,"Action, Adventure, Comedy",119,R,7.7,324590000,David Leitch,84,85,MARVEL,3000.0,50,David Leitch,Ryan Reynolds,Josh Brolin,Morena Baccarin
Venom,2018,"Action, Adventure, Sci-Fi",112,PG-13,6.7,213520000,Ruben Fleischer,29,81,MARVEL,,52,Ruben Fleischer,Tom Hardy,Michelle Williams,Riz Ahmed
Avengers: Endgame,2019,"Action, Adventure, Drama",181,PG-13,8.4,858370000,Anthony Russo,94,90,MARVEL,1000.0,54,Joe Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo
Captain Marvel,2019,"Action, Adventure, Sci-Fi",123,PG-13,6.8,426830000,Anna Boden,79,45,MARVEL,1000.0,53,Anna Boden,Brie Larson,Samuel L. Jackson,Ben Mendelsohn
Spider-Man: Far from Home,2019,"Action, Adventure, Sci-Fi",129,PG-13,7.5,390530000,Jon Watts,90,95,MARVEL,1000.0,56,Jon Watts,Tom Holland,Samuel L. Jackson,Jake Gyllenhaal
X-Men: Dark Phoenix,2019,"Action, Adventure, Sci-Fi",113,PG-13,5.7,65850000,Simon Kinberg,22,64,MARVEL,3000.0,55,Simon Kinberg,James McAvoy,Michael Fassbender,Jennifer Lawrence
The New Mutants,2020,"Action, Horror, Mystery",94,PG-13,5.3,0,Josh Boone,35,56,MARVEL,3000.0,57,Josh Boone,Maisie Williams,Anya Taylor-Joy,Charlie Heaton
